N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
242003;L'ATALANTE;1;163;78358;Maisons-Laffitte;FIXE;OUI;OUI
242422;MARCEL PAGNOL;1;198;92046;Malakoff;FIXE;OUI;OUI
244700;MEGA CGR;9;2 081;78361;Mantes-la-Jolie;FIXE;NON;OUI
244715;LE CHAPLIN;1;300;78361;Mantes-la-Jolie;FIXE;NON;NON
246432;ATMOSPHERE;1;231;91363;Marcoussis;FIXE;OUI;OUI
248192;FONTENELLE;2;336;78372;Marly-le-Roi;FIXE;OUI;NON
252134;CINEMASSY;3;417;91377;Massy;FIXE;OUI;NON
252712;LES 2 SCENES;1;102;78380;Maule;FIXE;OUI;OUI
254781;UGC MAJESTIC;7;1 129;77284;Meaux;FIXE;NON;OUI
255991;VARIETES;3;566;77288;Melun;FIXE;OUI;OUI
256983;CINEMA CONFLUENCES MENNECY;3;324;91386;Mennecy;FIXE;NON;NON
258952;LA LUCIOLE;1;228;95394;Méry-sur-Oise;FIXE;NON;NON
260903;CENTRE D ART ET DE CULTURE;1;458;92048;Meudon;FIXE;OUI;OUI
260904;ESPACE CULTUREL ROBERT-DOISNEAU;1;268;92048;Meudon;FIXE;NON;NON
263912;CONCORDE;1;210;77294;Mitry-Mory;FIXE;OUI;NON
264672;LA ROTONDE;1;349;77296;Moissy-Cramayel;FIXE;OUI;OUI
267481;CINEMA  11X20 14;1;48;77298;Mons-en-Montois;FIXE;OUI;NON
272392;LE CYRANO;1;329;91421;Montgeron;FIXE;OUI;OUI
273071;JACQUES BREL;1;282;78423;Montigny-le-Bretonneux;FIXE;NON;OUI
273182;CENTRE PICASSO;1;304;95424;Montigny-lès-Cormeilles;FIXE;NON;NON
274702;L'EDEN;2;222;95428;Montmorency;FIXE;OUI;NON
276086;MELIES;6;1 139;93048;Montreuil;FIXE;OUI;NON
276554;CINE MONTROUGE;1;162;92049;Montrouge;FIXE;OUI;NON
283043;FREDERIC DARD CLUB A;2;360;78440;Les Mureaux;FIXE;OUI;NON
284362;LA BERGERIE;1;132;77327;Nangis;FIXE;OUI;OUI
284490;LES LUMIERES;4;660;92050;Nanterre;FIXE;OUI;NON
286831;MELIES;3;507;77333;Nemours;FIXE;NON;OUI
288024;LA FAUVETTE;1;146;93049;Neuilly-Plaisance;FIXE;OUI;OUI
288151;LE VILLAGE I;2;500;92051;Neuilly-sur-Seine;FIXE;NON;OUI
291891;ROYAL PALACE;6;815;94052;Nogent-sur-Marne;FIXE;OUI;OUI
292341;LA FERME DU BUISSON;2;346;77337;Noisiel;FIXE;OUI;OUI
292374;UGC CINE CITE;10;1 797;93051;Noisy-le-Grand;FIXE;NON;OUI
292377;LE BIJOU;3;416;93051;Noisy-le-Grand;FIXE;OUI;OUI
298964;SALLE ARAGON;1;388;94054;Orly;FIXE;NON;OUI
299122;CENTRE CULTUREL  ORMESSON;1;358;94055;Ormesson-sur-Marne;FIXE;NON;NON
299572;CINEMA JACQUES TATI;3;357;91471;Orsay;FIXE;OUI;OUI
301781;LE PIERRE BRASSEUR;1;171;77350;Ozoir-la-Ferrière;FIXE;NON;OUI
302485;CINEPAL;4;545;91477;Palaiseau;FIXE;OUI;OUI
303281;CINE 104;3;457;93055;Pantin;FIXE;OUI;OUI
303445;SALLE DES FETES;1;314;91479;Paray-Vieille-Poste;FIXE;NON;NON
305402;ESPACE DES ARTS;1;329;93057;Les Pavillons-sous-Bois;FIXE;OUI;NON
307692;CENTRE DES BORDS DE MARNE;1;198;94058;Le Perreux-sur-Marne;FIXE;OUI;OUI
314413;CINEMA GERARD PHILIPE;2;400;92060;Le Plessis-Robinson;FIXE;OUI;NON
314451;ESPACE PAUL VALERY;1;340;94059;Le Plessis-Trévise;FIXE;NON;NON
317291;C 2 L;5;983;78498;Poissy;FIXE;NON;OUI
318801;APOLLO;2;295;77373;Pontault-Combault;FIXE;OUI;OUI
320532;ROYAL UTOPIA;1;272;95500;Pontoise;FIXE;OUI;NON
326550;LE REXY;4;570;77379;Provins;FIXE;NON;OUI
327945;UGC CINE CITE LA DEFENSE;16;3 642;92062;Puteaux;FIXE;NON;OUI
327961;LE CENTRAL;2;480;92062;Puteaux;FIXE;NON;OUI
331271;VOX ODEON;2;320;78517;Rambouillet;FIXE;OUI;OUI
338332;CINOCHE;3;709;91521;Ris-Orangis;FIXE;OUI;OUI
338335;CINOCHE 4;1;291;91521;Ris-Orangis;FIXE;NON;OUI
341321;LA GRANGE;1;192;77390;Roissy-en-Brie;FIXE;NON;OUI
341652;LE TRIANON;1;436;93063;Romainville;FIXE;OUI;NON
343750;UGC CINE CITE ROSNY;15;3 324;93064;Rosny-sous-Bois;FIXE;NON;NON
343762;ESPACE GEORGES SIMENON;1;229;93064;Rosny-sous-Bois;FIXE;OUI;NON
347162;ARIEL;3;689;92063;Rueil-Malmaison;FIXE;OUI;OUI
347175;ARIEL HAUTS DE RUEIL;3;688;92063;Rueil-Malmaison;FIXE;NON;OUI
353531;C2L CIN'HOCHE;5;436;78586;Sartrouville;FIXE;NON;OUI
356431;ESPACE PREVERT;1;390;77445;Savigny-le-Temple;FIXE;OUI;OUI
356871;TRIANON;1;270;92071;Sceaux;FIXE;OUI;NON
362414;CINE SEL;1;380;92072;Sèvres;FIXE;OUI;NON
368403;SALLE PAUL ELUARD;1;699;93072;Stains;FIXE;NON;OUI
370073;ESPACE JEAN-MARIE POIRIER;1;205;94071;Sucy-en-Brie;FIXE;NON;OUI
370411;LE CAPITOLE;4;644;92073;Suresnes;FIXE;OUI;OUI
374021;LE CRATERE;1;439;78537;Saint-Arnoult-en-Yvelines;FIXE;NON;NON
379671;LES TROIS PIERROTS;2;466;92064;Saint-Cloud;FIXE;OUI;OUI
381152;LES YEUX D ELSA;1;168;78545;Saint-Cyr-l'École;FIXE;OUI;OUI
