N°AUTO;NOM ETABLISSEMENT;ECRANS;FAUTEUILS;CODE COMMUNE;COMMUNE;GENRE;ART ET ESSAI;ECRANS 3D
119122;CINEMA MUNICIPAL;1;340;50139;Condé-sur-Vire;ITINERANT;OUI;NON
120434;THEÂTRE LES DOCKS;1;371;80212;Corbie;FIXE;NON;OUI
122720;SALLE DES FETES;1;0;60164;Le Coudray-Saint-Germer;ITINERANT;OUI;NON
125513;CINEMA DE LA GARE;1;240;14191;Courseulles-sur-Mer;FIXE;OUI;OUI
126311;LE LONG-COURT;2;324;50147;Coutances;FIXE;OUI;NON
127571;LE CYRANO;1;270;80222;Crécy-en-Ponthieu;FIXE;OUI;NON
127661;LA FAIENCERIE;1;749;60175;Creil;FIXE;NON;NON
128114;LES TOILES 1;4;548;60176;Crépy-en-Valois;FIXE;NON;OUI
129441;LE HUBLOT;1;247;44049;Le Croisic;FIXE;OUI;OUI
130633;REX;1;177;29042;Crozon;FIXE;OUI;OUI
133141;LES CARDINAUX;1;151;56052;Damgan;FIXE;OUI;OUI
133381;LE CLUB 2;1;189;45122;Dampierre-en-Burly;FIXE;NON;OUI
136672;LE MORNY;4;777;14220;Deauville;FIXE;NON;OUI
137481;LE RABELAIS;1;167;37115;Descartes;FIXE;OUI;NON
138345;D S N  DIEPPE SCENE NATIONALE;1;578;76217;Dieppe;FIXE;OUI;OUI
138352;CINEMAS GRAND FORUM;8;1 319;76217;Dieppe;FIXE;NON;NON
138901;VERS LE LARGE;5;821;22050;Dinan;FIXE;OUI;OUI
138922;2 ALIZES SALLE LA MOUETTE;2;499;35093;Dinard;FIXE;OUI;OUI
139232;LE DRAKKAR;1;290;14225;Dives-sur-Mer;FIXE;OUI;OUI
139503;CINE DOL;2;271;35095;Dol-de-Bretagne;FIXE;NON;OUI
141031;ESPACE RENAISSANCE;1;274;44052;Donges;FIXE;NON;OUI
141711;LE CLUB;1;256;29046;Douarnenez;FIXE;OUI;NON
142082;TIVOLI;1;98;80253;Doullens;FIXE;OUI;OUI
142371;LE FOYER;1;260;14228;Douvres-la-Délivrande;FIXE;OUI;OUI
142522;CINEMA LE NORMANDY;1;200;14711;Trévières;ITINERANT;OUI;NON
142995;CINE CENTRE;9;1 544;28134;Dreux;FIXE;OUI;OUI
146393;MERCURE;5;957;76231;Elbeuf;FIXE;NON;OUI
147971;PALACE;7;1 176;51230;Épernay;FIXE;OUI;NON
148024;LES PRAIRIALES;1;544;28140;Épernon;FIXE;NON;OUI
148811;PALACE;1;280;50129;Cherbourg-en-Cotentin;FIXE;OUI;OUI
149362;LE MAJESTIC;1;254;53096;Ernée;FIXE;NON;OUI
149552;ARMOR CINE;1;245;22054;Erquy;FIXE;OUI;NON
152732;LE KORRIGAN;1;142;22055;Binic-Étables-sur-Mer;FIXE;OUI;NON
153083;LA RIVIERE;1;212;56055;Étel;FIXE;OUI;OUI
154393;PATHE EVREUX;10;2 395;27229;Évreux;FIXE;OUI;OUI
154444;CINEMA YVES ROBERT;3;447;53097;Évron;FIXE;OUI;OUI
155414;ENTRACTE;1;198;14258;Falaise;FIXE;OUI;OUI
155711;CINE ELLE LE FAOUET;1;326;56057;Le Faouët;FIXE;NON;OUI
156393;CINE SEINE;1;0;76258;Terres-de-Caux;ITINERANT;NON;NON
157231;LE GRAND LARGE;4;710;76259;Fécamp;FIXE;OUI;OUI
158701;LE PALACE;2;232;72132;La Ferté-Bernard;FIXE;OUI;OUI
158783;GERARD PHILIPE;1;182;61168;La Ferté Macé;FIXE;OUI;OUI
158801;JEAN RACINE;1;119;2307;La Ferté-Milon;FIXE;NON;NON
158812;VARIETES CINEMA;1;187;45146;La Ferté-Saint-Aubin;FIXE;NON;NON
160742;LE KID;2;230;72154;La Flèche;FIXE;OUI;OUI
160923;VIKING;4;849;61169;Flers;FIXE;NON;OUI
165383;ESPACE JEAN BAUCHET;1;699;76276;Forges-les-Eaux;FIXE;NON;OUI
165801;VOX;1;280;80333;Fort-Mahon-Plage;FIXE;NON;NON
166434;LE CLUB;6;1 042;35115;Fougères;FIXE;OUI;NON
171881;LE TAHITI;1;350;61181;Gacé;FIXE;NON;OUI
172213;GRAND FORUM GAILLON;3;505;27275;Gaillon;FIXE;NON;OUI
177112;LE CLUB;1;188;45155;Gien;FIXE;NON;OUI
178231;JOUR DE FETE;1;207;27284;Gisors;FIXE;OUI;OUI
178423;LE MANEGE;2;465;8190;Givet;FIXE;OUI;OUI
179902;LA POINTE DE CAUX;1;337;76305;Gonfreville-l'Orcher;FIXE;NON;NON
180261;GORRON CINEMA;1;272;53107;Gorron;FIXE;OUI;OUI
181351;JEANNE D ARC;1;227;56066;Gourin;FIXE;OUI;OUI
181422;LES ECRANS;2;319;76312;Gournay-en-Bray;FIXE;OUI;OUI
183301;GAUMONT;16;3 828;76322;Le Grand-Quevilly;FIXE;NON;OUI
183951;SELECT;3;514;50218;Granville;FIXE;OUI;OUI
186232;LE KORRIGAN;1;236;56069;Groix;FIXE;NON;NON
187191;L ODEON;1;170;44067;Guémené-Penfao;FIXE;OUI;OUI
187201;SALLE ROCH;1;201;56073;Guémené-sur-Scorff;FIXE;OUI;OUI
187365;QUAI 56;1;184;56075;Guer;FIXE;OUI;NON
187441;LE BRETAGNE;1;270;35125;La Guerche-de-Bretagne;FIXE;OUI;NON
188041;LE BRETAGNE;2;284;35126;Guichen;FIXE;OUI;OUI
188591;LES KORRIGANS;2;438;22070;Guingamp;FIXE;OUI;OUI
188681;ALLIANCE;1;185;35176;Guipry-Messac;FIXE;OUI;NON
188762;VOX;1;160;2361;Guise;FIXE;NON;NON
190281;LE MELIES;1;198;80410;Ham;FIXE;NON;NON
192961;CINEMA DE LA PLAGE;2;282;50231;Hauteville-sur-Mer;FIXE;OUI;OUI
193111;SIRIUS;5;492;76351;Le Havre;FIXE;OUI;NON
193185;LE STUDIO;1;86;76351;Le Havre;FIXE;OUI;NON
193373;GAUMONT;12;2 412;76351;Le Havre;FIXE;NON;OUI
193591;RIALTO;1;250;50236;La Haye;FIXE;OUI;OUI
195211;LE GEN ERIC;3;621;44073;Héric;FIXE;OUI;OUI
195741;CAFE DES IMAGES;4;1 009;14327;Hérouville-Saint-Clair;FIXE;OUI;NON
196901;SONHIR;3;436;2381;Hirson;FIXE;NON;OUI
197622;CINEMA HENRI JEANSON;1;199;14333;Honfleur;FIXE;NON;NON
198581;CASINO;1;262;14338;Houlgate;FIXE;OUI;OUI
199121;ARTHUS CINE;1;97;29081;Huelgoat;FIXE;OUI;OUI
200262;LE CUBE;1;179;37119;L' Île-Bouchard;FIXE;NON;OUI
201041;CINEMA ST CHARLES;1;122;49160;Ingrandes-Le Fresne sur Loire;FIXE;OUI;OUI
201253;LE VULCAIN;1;180;56090;Inzinzac-Lochrist;FIXE;OUI;OUI
201482;LE CLUB;1;308;14342;Isigny-sur-Mer;FIXE;NON;NON
202162;ELYSEE;3;469;36088;Issoudun;FIXE;OUI;OUI
203311;STELLA;1;274;35136;Janzé;FIXE;OUI;NON
203672;SALLE SAINT MICHEL;1;244;49163;Jarzé Villages;FIXE;NON;NON
203910;MAJESTIC COMPIEGNE;14;2 466;60325;Jaux;FIXE;OUI;OUI
204507;Agnès Varda;1;118;89206;Joigny;FIXE;OUI;OUI
205001;LE BEAUMANOIR;1;321;56091;Josselin;FIXE;OUI;OUI
205213;CENTRE CULTUREL ESPACE MALRAUX;1;670;37122;Joué-lès-Tours;FIXE;NON;NON
213462;CINE PENTHIEVRE;1;210;22093;Lamballe;FIXE;NON;OUI
213933;LE MELIES;1;168;41106;Lamotte-Beuvron;FIXE;NON;OUI
214541;LE ROHAN;2;470;29103;Landerneau;FIXE;OUI;OUI
214841;STUDIO;2;394;29105;Landivisiau;FIXE;OUI;OUI
215183;MEGA CGR;11;1 890;56098;Lanester;FIXE;NON;OUI
215502;ESPACE JEAN-HUGUES ANGLADE;1;189;37123;Langeais;FIXE;OUI;OUI
215723;NEW VOX;2;344;52269;Langres;FIXE;OUI;NON
216171;LES BALADINS;5;828;22113;Lannion;FIXE;OUI;OUI
216843;CGR LAON;5;790;2408;Laon;FIXE;NON;OUI
216851;MAISON DES ARTS ET LOISIRS;2;699;2408;Laon;FIXE;NON;NON
220074;CINEVILLE;9;1 844;53130;Laval;FIXE;OUI;OUI
221971;CINEMA ST MICHEL;1;263;44081;Legé;FIXE;OUI;OUI
223593;EVEN;1;340;29124;Lesneven;FIXE;OUI;OUI
226211;SALLE ST MICHEL;1;300;35152;Liffré;FIXE;OUI;OUI
227982;CENTRE CULTUREL JULIOBONA;1;377;76384;Lillebonne;FIXE;NON;NON
229082;TRIANON;1;111;14365;Lion-sur-Mer;FIXE;OUI;NON
229261;ROYAL;3;536;14366;Lisieux;FIXE;NON;NON
229262;MAJESTIC;2;536;14366;Lisieux;FIXE;OUI;NON
230152;VIGNY;2;503;37132;Loches;FIXE;OUI;OUI
230301;LE CLUB;1;228;56117;Locminé;FIXE;OUI;OUI
233001;CINEVILLE;11;2 160;56121;Lorient;FIXE;NON;OUI
233181;CINE LOROUX;1;198;44084;Le Loroux-Bottereau;FIXE;OUI;OUI
233722;QUAI DES IMAGES;2;409;22136;Loudéac;FIXE;OUI;OUI
234801;LE GRAND FORUM;5;960;27375;Louviers;FIXE;NON;OUI
235831;DRAKKAR;1;340;14384;Luc-sur-Mer;FIXE;NON;NON
235942;ESPACE RONSARD;1;425;72176;Le Lude;FIXE;NON;NON
239121;CINÉMACHECOUL;2;327;44087;Machecoul-Saint-Même;FIXE;OUI;OUI
242852;ARMORIC CINEMA;1;234;56124;Malestroit;FIXE;OUI;OUI
243552;REX;2;271;72180;Mamers;FIXE;OUI;OUI
244455;CINE POCHE;1;99;72181;Le Mans;FIXE;NON;NON
244481;CGR COLISEE;7;1 126;72181;Le Mans;FIXE;NON;OUI
244491;LE ROYAL;1;94;72181;Le Mans;FIXE;NON;NON
244492;LES CINEASTES;4;383;72181;Le Mans;FIXE;OUI;NON
244496;PATHE;11;1 811;72181;Le Mans;FIXE;NON;OUI
248763; ESPACE CULTUREL BEAUMARCHAIS;1;245;76410;Maromme;FIXE;NON;OUI
252991;L AURORE;1;173;35168;Val d'Anast;FIXE;OUI;OUI
253763;VOX;3;374;53147;Mayenne;FIXE;OUI;OUI
257772;LE STUDIO;1;142;22147;Merdrignac;FIXE;NON;OUI
258652;GERARD PHILIPE;1;214;80533;Mers-les-Bains;FIXE;NON;OUI
258732;DOMINO;2;237;60395;Méru;FIXE;OUI;NON
261032;LA FABRIQUE;1;143;45203;Meung-sur-Loire;FIXE;NON;NON
261730;MEGA CGR;12;2 580;35177;La Mézière;FIXE;NON;OUI
264151;LE KERFANY;1;172;29150;Moëlan-sur-Mer;FIXE;OUI;OUI
266361;UGC CINE CITE;12;2 452;14437;Mondeville;FIXE;NON;OUI
267061;FOYER RURAL;1;300;37153;Monnaie;ITINERANT;OUI;OUI
267832;LE MONTAGNARD;1;205;44101;La Montagne;FIXE;OUI;OUI
268583;ALTICINE;9;1 499;45208;Montargis;FIXE;OUI;OUI
268733;PATHE;14;3 450;60414;Montataire;FIXE;NON;OUI
268841;CINE MONTAL;1;150;35184;Montauban-de-Bretagne;FIXE;OUI;NON
269222;LE GENERIQUE;1;182;37154;Montbazon;FIXE;OUI;NON
270633;HOLLYWOOD AVENUE;1;178;80561;Montdidier;FIXE;NON;OUI
272101;LA CANE;1;264;35188;Montfort-sur-Meu;FIXE;OUI;OUI
273565;CINEMA LES ARTS;4;861;76447;Montivilliers;FIXE;NON;OUI
273631;MONTJEAN CINEMA;1;155;49244;Mauges-sur-Loire;FIXE;NON;OUI
274603;LE DON CAMILLO;2;288;51380;Montmirail;FIXE;NON;NON
276351;LE REGENT;1;195;41151;Montrichard Val de Cher;FIXE;OUI;NON
276712;ARIEL;1;278;76451;Mont-Saint-Aignan;FIXE;OUI;NON
277201;MAJESTIC;1;290;53161;Montsûrs-Saint-Céneré;FIXE;NON;OUI
277893;SALLE DES FETES;1;0;80570;Moreuil;ITINERANT;OUI;OUI
278231;RIALTO;3;697;29151;Morlaix;FIXE;NON;OUI
278241;LA SALAMANDRE;1;146;29151;Morlaix;FIXE;OUI;OUI
278721;ETOILE;1;146;61293;Mortagne-au-Perche;FIXE;OUI;OUI
282092;SALLE DES FETES;1;200;8311;Mouzon;ITINERANT;OUI;NON
282731;SIMONE SIGNORET;1;252;72213;Mulsanne;FIXE;OUI;OUI
283551;SALLE JEANNE D ARC;1;186;56143;Muzillac;FIXE;OUI;OUI
284613;GAUMONT;12;1 875;44109;Nantes;FIXE;NON;OUI
284631;KATORZA;6;881;44109;Nantes;FIXE;OUI;OUI
284662;CONCORDE;4;287;44109;Nantes;FIXE;OUI;OUI
284694;BONNE GARDE;1;341;44109;Nantes;FIXE;OUI;NON
284747;LE CINEMATOGRAPHE;1;162;44109;Nantes;FIXE;OUI;NON
287391;LE VIKING;1;405;27428;Le Neubourg;FIXE;NON;NON
287472;NORMANDY;1;227;76462;Neufchâtel-en-Bray;FIXE;OUI;OUI
288291;CIRCUIT 2;1;100;45142;Fay-aux-Loges;ITINERANT;OUI;NON
291822;REX;3;481;28280;Nogent-le-Rotrou;FIXE;OUI;OUI
291964;LUMIERE SALLE MICHEL PICCOLI;2;228;10268;Nogent-sur-Seine;FIXE;OUI;NON
293121;CINEMA PARADISO;1;230;44110;Nort-sur-Erdre;FIXE;OUI;OUI
293392;COLOMBIER;3;657;76476;Port-Jérôme-sur-Seine;FIXE;NON;OUI
293630;COMPLEXE CULTUREL OESIA;1;500;37172;Notre-Dame-d'Oé;FIXE;NON;NON
293801;CINE SOLOGNE;1;200;41161;Nouan-le-Fuzelier;ITINERANT;NON;OUI
294861;NOUVEAU CINEMA LE PARADISIO 1 (EX-PARADISIO)  (EX-PALACE A);4;643;60471;Noyon;FIXE;OUI;OUI
294891;LE NOZEK;1;210;44113;Nozay;FIXE;OUI;OUI
296615;ESPACE ARAGON;1;198;76484;Oissel;FIXE;NON;OUI
298831;LES CARMES;3;729;45234;Orléans;FIXE;OUI;NON
298834;PATHE ORLEANS;12;2 309;45234;Orléans;FIXE;NON;OUI
299511;CINEDORI;1;186;60482;Orry-la-Ville;FIXE;NON;OUI
300801;MICHEL CABIEU;1;352;14488;Ouistreham;FIXE;OUI;OUI
302312;CINE BREIZ;1;196;22162;Paimpol;FIXE;OUI;OUI
302453;REX;1;234;56152;Le Palais;FIXE;OUI;NON
306414;ECKMUHL;1;235;29158;Penmarch;FIXE;OUI;OUI
307361;PICARDY;2;384;80620;Péronne;FIXE;NON;NON
307943;LES BALADINS;2;437;22168;Perros-Guirec;FIXE;OUI;NON
312221;LE COTENTIN;1;154;50403;Pirou;FIXE;OUI;OUI
312443;LE MAIL;1;220;45252;Pithiviers;FIXE;NON;NON
313842;CINEMA L'HERMINE;1;192;35223;Plélan-le-Grand;FIXE;OUI;OUI
313912; CASINO DU VAL ANDRE;1;600;22186;Pléneuf-Val-André;FIXE;OUI;NON
314471;LE DOURON;1;180;22194;Plestin-les-Grèves;FIXE;OUI;OUI
314601;CINE ARMOR;1;196;35228;Pleurtuit;FIXE;OUI;NON
314823;CINELAC;5;794;56165;Ploërmel;FIXE;OUI;OUI
315251;CINEMA LE DAUPHIN;1;358;29185;Plouescat;FIXE;OUI;OUI
315312;IMAGES;2;237;29189;Plougastel-Daoulas;FIXE;OUI;OUI
315332;LE DAUPHIN;1;129;29190;Plougonvelin;FIXE;OUI;NON
315411;LE CITHEA;1;177;22219;Plouguenast;FIXE;OUI;OUI
317442;TRIANON;1;220;80630;Poix-de-Picardie;FIXE;OUI;NON
317911;GRAND ECRAN;1;134;49244;Mauges-sur-Loire;FIXE;OUI;NON
318782;ROYAL;3;589;27467;Pont-Audemer;FIXE;NON;NON
319022;LA BOBINE;1;129;44129;Pontchâteau;FIXE;OUI;OUI
320311;REX;5;806;56178;Pontivy;FIXE;OUI;OUI
320333;CINEVILLE PONT L'ABBE;4;610;29220;Pont-l'Abbé;FIXE;NON;NON
320411;CINEMA LE CONCORDE;1;169;14514;Pont-l'Évêque;FIXE;OUI;OUI
320771;PALACE;2;322;60509;Pont-Sainte-Maxence;FIXE;OUI;NON
320873;CINEVILLE;6;1 189;49246;Les Ponts-de-Cé;FIXE;NON;OUI
320971;SALLE RENE TARROT;1;100;72243;Pontvallain;ITINERANT;NON;NON
321132;CINEMA ST GILLES;1;270;44131;Pornic;FIXE;OUI;OUI
321135;ST JOSEPH;1;185;44131;Pornic;FIXE;OUI;OUI
322952;CINEMA PAX;1;230;44135;Le Pouliguen;FIXE;OUI;OUI
324731; ATLANTIQUE;1;268;44136;Préfailles;FIXE;OUI;NON
329162;PAX;1;208;80649;Quend;FIXE;NON;NON
329501;IRIS;2;334;56184;Questembert;FIXE;OUI;OUI
329792;LE PARADIS;2;242;56186;Quiberon;FIXE;OUI;NON
330021;KATORZA;6;785;29232;Quimper;FIXE;NON;OUI
330033;LE QUAI DU DUPLEIX;2;216;29232;Quimper;FIXE;OUI;NON
330052;LA BOBINE;1;278;29233;Quimperlé;FIXE;OUI;OUI
330431;LE ROCHONEN;1;200;22262;Quintin;FIXE;OUI;OUI
333304;CINE'MANIVEL;7;1 065;35236;Redon;FIXE;OUI;OUI
333901;OPERAIMS;11;1 606;51454;Reims;FIXE;OUI;NON
333961;OPERA;5;607;51454;Reims;FIXE;NON;NON
334921;VOX;1;218;53188;Renazé;FIXE;OUI;OUI
335054;ARVOR;2;373;35238;Rennes;FIXE;OUI;NON
335055; CINE T.N.B;2;495;35238;Rennes;FIXE;OUI;NON
335073;CINEVILLE COLOMBIER;6;1 230;35238;Rennes;FIXE;NON;NON
335108;GAUMONT;13;2 800;35238;Rennes;FIXE;NON;OUI
335711;LE RESTERIA;1;169;35239;Retiers;FIXE;OUI;OUI
336191;RICHELIEU;2;285;50433;Réville;FIXE;OUI;NON
336432;CINEMA ST PAUL;1;425;44143;Rezé;FIXE;OUI;OUI
337051;MAJESTIC;1;246;37196;Richelieu;FIXE;OUI;OUI
339311;LA COURONNE;2;260;56195;La Roche-Bernard;FIXE;OUI;NON
342020;KORRIGAN;1;209;35245;Romillé;FIXE;OUI;OUI
342071;MARCEL CARNE;3;698;10323;Romilly-sur-Seine;FIXE;OUI;OUI
342112;C V L PALACE;3;488;41194;Romorantin-Lanthenay;FIXE;OUI;OUI
343321;STE BARBE;1;200;29239;Roscoff;FIXE;OUI;OUI
343951;CINE BREIZ;1;227;22266;Rostrenen;FIXE;OUI;NON
344532;OMNIA REPUBLIQUE;7;1 345;76540;Rouen;FIXE;OUI;NON
344571;KINEPOLIS ROUEN;14;2 539;76540;Rouen;FIXE;NON;OUI
344590;PATHE DOCKS 76;14;3 021;76540;Rouen;FIXE;NON;OUI
346622;CINEMA THEATRE;1;326;80685;Roye;FIXE;NON;OUI
348311;PALACE CARNOT;1;500;72264;Sablé-sur-Sarthe;FIXE;NON;NON
348314;CTRE CULTUREL JOEL LE THEULE;1;655;72264;Sablé-sur-Sarthe;FIXE;NON;NON
352610;PATHE SARAN;10;2 436;45302;Saran;FIXE;NON;OUI
353571;LE RICHEMONT;1;318;56240;Sarzeau;FIXE;NON;OUI
354782;LE GRAND  PALACE;9;1 469;49328;Saumur;FIXE;OUI;OUI
355933;CINE NOVA;5;662;44195;Savenay;FIXE;OUI;NON
357672;TURENNE;3;450;8409;Sedan;FIXE;NON;OUI
357751;REX;1;212;61464;Sées;FIXE;OUI;NON
357904;LE MAINGUE;3;375;49331;Segré-en-Anjou Bleu;FIXE;OUI;OUI
358561;LE STUDIO;1;123;41242;Selles-sur-Cher;FIXE;OUI;OUI
359462;JEANNE D ARC;1;227;60612;Senlis;FIXE;OUI;OUI
359622;L'AMBIANCE;1;306;28373;Senonches;FIXE;OUI;OUI
359772;CINEMA CONFLUENCES SENS;7;1 340;89387;Sens;FIXE;OUI;NON
362773;SEZ ART;2;319;51535;Sézanne;FIXE;OUI;OUI
364503;CGR SOISSONS;6;982;2722;Soissons;FIXE;NON;OUI
370251;LE SULLY;1;204;45315;Sully-sur-Loire;FIXE;NON;OUI
371581;PETIT CASINO;2;232;41198;Saint-Aignan;FIXE;OUI;OUI
372181;LE MODERNE;2;226;18197;Saint-Amand-Montrond;FIXE;OUI;OUI
374431;SAINT JOSEPH;1;300;49292;Val-du-Layon;ITINERANT;NON;NON
374582; MAUCLERC;2;293;35253;Saint-Aubin-du-Cormier;FIXE;OUI;NON
374903;JOACASINO;1;179;14562;Saint-Aubin-sur-Mer;FIXE;NON;NON
377083;CINEJADE;3;465;44154;Saint-Brevin-les-Pins;FIXE;OUI;OUI
377271;CLUB;6;1 150;22278;Saint-Brieuc;FIXE;OUI;NON
377441;ZOOM;1;131;72269;Saint-Calais;FIXE;OUI;NON
381240;L'ESCALE;1;292;37214;Saint-Cyr-sur-Loire;FIXE;NON;NON
382552;CINE-QUAI;7;1 122;52448;Saint-Dizier;FIXE;OUI;OUI
383961;MONTLUC CINEMA;1;241;44158;Saint-Étienne-de-Montluc;FIXE;OUI;NON
385392;RIO;1;286;18207;Saint-Florent-sur-Cher;FIXE;OUI;OUI
385401;FOYER MUNICIPAL;1;152;89068;Chablis;ITINERANT;OUI;NON
385421;CINE GLONNE;1;192;49244;Mauges-sur-Loire;FIXE;OUI;OUI
387661;JULIEN MAUNOIR;1;157;35271;Saint-Georges-de-Reintembault;FIXE;OUI;OUI
390271;ERMITAGE;1;281;2680;Saint-Gobain;FIXE;NON;OUI
390791;LUTETIA;1;288;44162;Saint-Herblain;FIXE;OUI;OUI
390793;UGC CINE CITE ATLANTIS;12;2 462;44162;Saint-Herblain;FIXE;NON;OUI
391331;REX;1;395;50484;Saint-Hilaire-du-Harcouët;FIXE;NON;OUI
396151;JEANNE MOREAU;1;200;60581;Saint-Just-en-Chaussée;FIXE;NON;NON
398574;CINEMOVIKING;9;1 344;50502;Saint-Lô;FIXE;NON;OUI
399341;FAMILIAL;1;203;35287;Saint-Lunaire;FIXE;OUI;NON
399432;ESPACE BORIS VIAN;1;202;49301;Sèvremoine;FIXE;OUI;NON
399681;LE VAUBAN;5;872;35288;Saint-Malo;FIXE;NON;NON
399686;LE VAUBAN 2- LA GRANDE PASSERELLE;3;505;35288;Saint-Malo;FIXE;OUI;NON
399721;LA MALOUINE;1;150;44176;Saint-Malo-de-Guersac;FIXE;OUI;NON
401371;SALLE JEANNE D ARC;1;220;44180;Saint-Mars-la-Jaille;FIXE;NON;OUI
403400;SALLE BARBARA;1;0;49306;Saint-Martin-du-Fouilloux;ITINERANT;NON;NON
404692;SALLE PATRICE LECONTE;1;140;37226;Sainte-Maure-de-Touraine;FIXE;OUI;OUI
405831;LE CELTIC;2;307;35297;Saint-Méen-le-Grand;FIXE;OUI;OUI
406352;SALLE ST MICHEL;1;95;44182;Saint-Michel-Chef-Chef;FIXE;OUI;OUI
407211;JACQUES TATI;1;154;44184;Saint-Nazaire;FIXE;OUI;OUI
407220;CINEVILLE;9;1 986;44184;Saint-Nazaire;FIXE;NON;OUI
407229;CINE PRESQU'ILE;6;1 029;44069;Guérande;FIXE;NON;OUI
408122;VOX;1;176;80711;Saint-Ouen;FIXE;NON;NON
410232;CINE PHIL;1;228;44188;Saint-Philbert-de-Grand-Lieu;FIXE;OUI;OUI
411244;CENTRE CULTUREL COMMUNAL;1;365;37233;Saint-Pierre-des-Corps;FIXE;NON;NON
411333;AIGLON;1;155;53246;Saint-Pierre-des-Nids;FIXE;OUI;OUI
412061;REXY;1;144;14654;Saint-Pierre-en-Auge;FIXE;OUI;NON
412251;MAJESTIC;1;331;29259;Saint-Pol-de-Léon;FIXE;OUI;OUI
413111;ARLETTY;1;167;22325;Saint-Quay-Portrieux;FIXE;OUI;OUI
413157;CGR SAINT QUENTIN;11;1 927;2691;Saint-Quentin;FIXE;OUI;OUI
414352;LE BRETAGNE;1;300;29260;Saint-Renan;FIXE;OUI;OUI
415471;MEGA CGR;12;2 141;72320;Saint-Saturnin;FIXE;NON;OUI
416921;FOYER RURAL;1;200;18235;Sainte-Solange;ITINERANT;OUI;NON
418992;CASINO MUNICIPAL;1;189;76655;Saint-Valery-en-Caux;FIXE;NON;NON
423561;CASINO;2;498;2738;Tergnier;FIXE;NON;OUI
424781;ST LOUIS;1;221;61484;Val-au-Perche;FIXE;OUI;OUI
426120;GAUMONT;13;2 609;51569;Thillois;FIXE;NON;OUI
427312;CINEMA SAINT-LOUIS;1;170;49345;Bellevigne-en-Layon;FIXE;OUI;OUI
427442;Salle Saint-Gobain;1;220;60636;Thourotte;FIXE;NON;NON
427861;LE NORMANDY;1;213;14689;Le Hom;FIXE;OUI;OUI
428483;LE NORMANDY;1;280;61486;Tinchebray-Bocage;FIXE;OUI;NON
428961;CINEMA THEATRE;1;141;89418;Tonnerre;FIXE;OUI;OUI
431732;STUDIO DES URSULINES;7;1 067;37261;Tours;FIXE;OUI;OUI
431771;MEGA CGR 2 LIONS;13;2 574;37261;Tours;FIXE;NON;OUI
431801;MEGA CGR CENTRE;8;1 898;37261;Tours;FIXE;NON;OUI
433570;CINELAND;10;2 187;22360;Trégueux;FIXE;NON;OUI
434402;JOACASINO;1;332;76711;Le Tréport;FIXE;NON;NON
436453;CGR TROYES;14;2 352;10387;Troyes;FIXE;NON;OUI
437012;ATLANTIC;1;160;44211;La Turballe;FIXE;OUI;OUI
439721;LES ARCADES;2;242;27701;Val-de-Reuil;FIXE;OUI;NON
440961;LE CEP;1;282;44212;Vallet;FIXE;OUI;OUI
441261;TRIANON;1;340;50615;Valognes;FIXE;OUI;NON
441861;GARENNE;5;813;56260;Vannes;FIXE;OUI;OUI
441876;CINEVILLE PARC LANN;9;1 979;56260;Vannes;FIXE;NON;OUI
446494;CINE VENDOME;5;900;41269;Vendôme;FIXE;NON;OUI
448762;CINEMA THEATRE TRIANON;1;168;27679;Verneuil d'Avre et d'Iton;FIXE;OUI;NON
448981;THEATRE;4;836;27681;Vernon;FIXE;NON;OUI
450171;CINE VAILLANT;1;195;44215;Vertou;FIXE;OUI;OUI
450271;PICCOLI PICCOLO;1;149;2789;Vervins;FIXE;NON;NON
450742;CINEMA LE REX ANAIS AUBERT;1;97;76735;Veules-les-Roses;FIXE;OUI;OUI
454032;CINE'FIL;1;204;49373;Lys-Haut-Layon;FIXE;OUI;OUI
455951;LE REX;1;240;50639;Villedieu-les-Poêles-Rouffigny;FIXE;OUI;OUI
459221;CLUB 80;2;217;2810;Villers-Cotterêts;FIXE;OUI;NON
460033;CINEMA DU CASINO;1;229;14754;Villers-sur-Mer;FIXE;NON;NON
462953;LE BASSELIN;2;345;14762;Vire Normandie;FIXE;OUI;NON
463643;AURORE CINEMA;3;515;35360;Vitré;FIXE;OUI;OUI
463842;PIERRE BRASSEUR;3;465;51649;Vitry-le-François;FIXE;OUI;NON
465872;LES TOURELLES;2;353;8490;Vouziers;FIXE;OUI;OUI
465920;SALLE DES FETES;1;0;2517;Montigny-sur-Crécy;ITINERANT;OUI;NON
466201;SALLE POLYVALENTE;1;150;44098;Missillac;ITINERANT;NON;NON
469602;CINEMA LES ARCHES LUMIERE;7;690;76758;Yvetot;FIXE;OUI;NON
576000;PATHE ATLANTIS;14;2 985;44162;Saint-Herblain;FIXE;NON;OUI
719400;SALLE ALAIN BASHUNG;1;178;89348;Saint-Julien-du-Sault;FIXE;NON;NON
720650;CINE LUMIERE;7;1 191;18279;Vierzon;FIXE;OUI;NON
720950;CINEVILLE;9;1 792;44190;Saint-Sébastien-sur-Loire;FIXE;NON;OUI
721500;CINEVILLE;10;1 987;29232;Quimper;FIXE;OUI;NON
722080;LA PLEIADE;1;298;37195;La Riche;FIXE;NON;NON
723840;LA PARENTHESE;1;166;37018;Ballan-Miré;FIXE;NON;NON
